customer_id,name,email,age,gender,city,phone,registration_date,customer_segment
CUST_000001,Khách hàng 1,customer1@email.com,21,Nữ,Cần Thơ,0324036547,2024-06-06,Gen Z
CUST_000002,Khách hàng 2,customer2@email.com,21,Nữ,Vũng Tàu,0864989819,2025-10-07,Gen Z
CUST_000003,Khách hàng 3,customer3@email.com,47,Nữ,Đà Nẵng,0380492888,2025-06-14,Gen X
CUST_000004,Khách hàng 4,customer4@email.com,35,Nữ,Biên Hòa,0525097662,2024-11-09,Gen X
CUST_000005,Khách hàng 5,customer5@email.com,25,Nữ,Biên Hòa,0185539500,2024-09-06,Millennials
CUST_000006,Khách hàng 6,customer6@email.com,45,Nam,Hà Nội,0577970941,2024-03-28,Gen X
CUST_000007,Khách hàng 7,customer7@email.com,55,Nữ,Biên Hòa,0900288722,2024-06-04,Baby Boomers
CUST_000008,Khách hàng 8,customer8@email.com,55,Nữ,Nha Trang,0278376540,2025-01-19,Baby Boomers
CUST_000009,Khách hàng 9,customer9@email.com,46,Nữ,Vũng Tàu,0956631409,2025-09-04,Gen X
CUST_000010,Khách hàng 10,customer10@email.com,18,Nữ,Huế,0428346002,2024-10-15,Gen Z
CUST_000011,Khách hàng 11,customer11@email.com,56,Nam,Hà Nội,0239573164,2024-11-04,Baby Boomers
CUST_000012,Khách hàng 12,customer12@email.com,49,Nữ,Huế,0510660660,2024-10-22,Gen X
CUST_000013,Khách hàng 13,customer13@email.com,42,Nam,Hải Phòng,0148026946,2024-11-06,Gen X
CUST_000014,Khách hàng 14,customer14@email.com,65,Nam,Đà Nẵng,0373624716,2024-07-09,Baby Boomers
CUST_000015,Khách hàng 15,customer15@email.com,52,Nữ,Hà Nội,0634998443,2025-08-20,Baby Boomers
CUST_000016,Khách hàng 16,customer16@email.com,41,Nữ,Hà Nội,0496429307,2024-11-18,Gen X
CUST_000017,Khách hàng 17,customer17@email.com,55,Nữ,Đà Nẵng,0817975478,2024-04-02,Baby Boomers
CUST_000018,Khách hàng 18,customer18@email.com,24,Nam,Hà Nội,0707244106,2024-07-15,Gen Z
CUST_000019,Khách hàng 19,customer19@email.com,19,Nữ,Cần Thơ,0656838934,2023-12-26,Gen Z
CUST_000020,Khách hàng 20,customer20@email.com,45,Nữ,Đà Nẵng,0608531684,2024-05-09,Gen X
CUST_000021,Khách hàng 21,customer21@email.com,33,Nam,Hải Phòng,0476047208,2024-05-09,Millennials
CUST_000022,Khách hàng 22,customer22@email.com,52,Nữ,Cần Thơ,0926724783,2025-07-11,Baby Boomers
CUST_000023,Khách hàng 23,customer23@email.com,62,Nam,Huế,0879520126,2024-10-01,Baby Boomers
CUST_000024,Khách hàng 24,customer24@email.com,56,Nam,Đà Nẵng,0459935510,2025-07-08,Baby Boomers
CUST_000025,Khách hàng 25,customer25@email.com,22,Nam,Hà Nội,0784963860,2025-05-27,Gen Z
CUST_000026,Khách hàng 26,customer26@email.com,53,Nam,Nha Trang,0216103978,2024-08-23,Baby Boomers
CUST_000027,Khách hàng 27,customer27@email.com,27,Nam,Huế,0331583758,2024-03-03,Millennials
CUST_000028,Khách hàng 28,customer28@email.com,34,Nữ,Đà Nẵng,0242806725,2024-11-18,Millennials
CUST_000029,Khách hàng 29,customer29@email.com,33,Nam,Hồ Chí Minh,0827869706,2024-06-04,Millennials
CUST_000030,Khách hàng 30,customer30@email.com,29,Nữ,Đà Nẵng,0509352060,2024-02-17,Millennials
CUST_000031,Khách hàng 31,customer31@email.com,25,Nam,Biên Hòa,0133033373,2024-08-16,Millennials
CUST_000032,Khách hàng 32,customer32@email.com,57,Nam,Hà Nội,0746472406,2023-10-28,Baby Boomers
CUST_000033,Khách hàng 33,customer33@email.com,54,Nữ,Hà Nội,0851094622,2025-02-21,Baby Boomers
CUST_000034,Khách hàng 34,customer34@email.com,48,Nam,Nha Trang,0221962426,2023-12-03,Gen X
CUST_000035,Khách hàng 35,customer35@email.com,46,Nam,Quy Nhon,0599760620,2024-11-07,Gen X
CUST_000036,Khách hàng 36,customer36@email.com,25,Nam,Hồ Chí Minh,0885170350,2024-01-16,Millennials
CUST_000037,Khách hàng 37,customer37@email.com,38,Nam,Hải Phòng,0654393285,2024-10-28,Gen X
CUST_000038,Khách hàng 38,customer38@email.com,61,Nữ,Nha Trang,0163609242,2024-12-17,Baby Boomers
CUST_000039,Khách hàng 39,customer39@email.com,39,Nam,Cần Thơ,0415927721,2025-04-19,Gen X
CUST_000040,Khách hàng 40,customer40@email.com,62,Nam,Đà Nẵng,0787134294,2025-06-06,Baby Boomers
CUST_000041,Khách hàng 41,customer41@email.com,53,Nữ,Biên Hòa,0836507267,2024-12-14,Baby Boomers
CUST_000042,Khách hàng 42,customer42@email.com,49,Nam,Đà Nẵng,0691952795,2025-08-01,Gen X
CUST_000043,Khách hàng 43,customer43@email.com,56,Nam,Cần Thơ,0882890208,2024-03-16,Baby Boomers
CUST_000044,Khách hàng 44,customer44@email.com,65,Nữ,Nha Trang,0343474863,2025-07-22,Baby Boomers
CUST_000045,Khách hàng 45,customer45@email.com,29,Nữ,Hải Phòng,0572371335,2025-07-09,Millennials
CUST_000046,Khách hàng 46,customer46@email.com,51,Nam,Quy Nhon,0642889046,2025-05-28,Baby Boomers
CUST_000047,Khách hàng 47,customer47@email.com,23,Nam,Biên Hòa,0876642439,2025-05-07,Gen Z
